time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,
4.75,0.436125,0.612534,0.294726,0.344049,0.644552,0.760372,
4.755,0.549041,0.502916,0.308388,0.398575,0.58803,0.769232,
4.76,0.30326,0.66899,0.0252999,0.565853,0.65646,0.980548,
4.765,0.815883,0.184961,0.253441,0.46403,0.596822,0.85565,
4.77,0.431417,0.688104,0.439539,0.317779,0.538749,0.639708,
4.775,0.485829,0.498645,0.142749,0.449065,0.682514,0.899719,
4.78,0.623807,0.468174,0.3488,0.536979,0.420261,0.758395,
4.785,0.568267,0.5161,0.356708,0.445059,0.499591,0.73654,
4.79,0.486238,0.582013,0.263756,0.547158,0.474978,0.809809,
4.795,0.484917,0.520704,0.193591,0.42253,0.662671,0.855969,
4.8,0.561671,0.487845,0.330645,0.339541,0.627731,0.747759,
4.805,0.449573,0.572425,0.258645,0.315549,0.706911,0.789081,
4.81,0.464769,0.529032,0.0947453,0.599718,0.57423,0.948847,
4.815,0.341184,0.744407,0.42436,0.135524,0.725886,0.624124,
4.82,0.29703,0.65374,0.0329979,0.44016,0.774042,0.962651,
4.825,0.402632,0.657491,0.311776,0.33459,0.635464,0.74116,
4.83,0.462184,0.627275,0.353826,0.408081,0.529465,0.72135,
4.835,0.911765,0.144955,0.381354,0.473339,0.480008,0.765403,
4.84,0.347194,0.724805,0.307282,0.36669,0.602589,0.740077,
4.845,0.502934,0.589011,0.360503,0.429579,0.505668,0.723284,
4.85,0.565425,0.466459,0.251557,0.455177,0.584773,0.822532,
4.855,0.787501,0.239466,0.266762,0.537115,0.5094,0.847261,
4.86,0.399266,0.626573,0.221089,0.395104,0.657281,0.81966,
4.865,0.52055,0.529046,0.383815,0.180712,0.733878,0.685271,
4.87,0.54131,0.520348,0.360756,0.309199,0.628756,0.717904,
4.875,0.350519,0.624795,0.070148,0.499122,0.686423,0.944745,
4.88,0.504413,0.603113,0.380328,0.455419,0.462065,0.709589,
4.885,0.494052,0.651445,0.523115,0.273582,0.512487,0.576404,
4.89,0.700616,0.450924,0.555261,0.355516,0.420317,0.585277,
4.895,0.72931,0.365579,0.434277,0.405638,0.482897,0.691856,
4.9,0.455837,0.688677,0.610031,0.0272913,0.675389,0.479226,
4.905,0.495235,0.596759,0.447856,0.206858,0.647395,0.632011,
4.91,0.601746,0.433214,0.290728,0.395561,0.611822,0.790464,
4.915,0.534477,0.493608,0.264653,0.384398,0.640558,0.801607,
4.92,0.399522,0.6974,0.397977,0.293069,0.598229,0.667061,
4.925,0.66498,0.54084,0.535842,0.640063,0.151417,0.620787,
4.93,1,0.0103747,0.414401,0.226689,0.703527,0.729229,
4.935,0.694135,0.353172,0.455105,0.103926,0.761235,0.644148,
4.94,0.581814,0.517924,0.363346,0.510594,0.429533,0.738618,
4.945,0.520782,0.482474,0.220148,0.368145,0.695929,0.83455,
4.95,0.457124,0.553402,0.177409,0.468364,0.629231,0.869308,
4.955,0.504548,0.557201,0.285421,0.473889,0.529896,0.788368,
4.96,0.531013,0.440955,0.161702,0.371285,0.746809,0.883736,
4.965,0.41448,0.590313,0.170599,0.430475,0.669296,0.865818,
4.97,0.377773,0.747199,0.437043,0.315401,0.538548,0.634276,
4.975,0.45673,0.483842,0.201723,0.0737569,1,0.81555,
4.98,0.0829938,0.971377,0.325798,0.065888,0.861477,0.663357,
4.985,0.316691,0.73748,0.259584,0.380944,0.628971,0.775965,
4.99,0.473381,0.618693,0.403927,0.302767,0.589826,0.673051,
4.995,0.113978,0.921685,0.128237,0.489465,0.621957,0.864671,
5,0.522028,0.584833,0.35669,0.5226,0.418237,0.736975,
5.005,0.652406,0.359108,0.332509,0.212147,0.76106,0.747554,
5.01,0.417469,0.62492,0.361373,0.135805,0.789687,0.685707,
5.015,0.34543,0.694179,0.271586,0.300071,0.701182,0.763133,
5.02,0.138782,0.918242,0.231446,0.349929,0.669374,0.772105,
5.025,0.229919,0.722254,0.0110455,0.458275,0.769896,0.972974,
5.03,0.775753,0.298179,0.364189,0.510515,0.446326,0.764159,
5.035,0.448202,0.555857,0.241459,0.271962,0.765795,0.799124,
5.04,0.60013,0.565963,0.377603,0.80352,0.126591,0.754714,
5.045,0.963813,0.0575259,0.360627,0.389831,0.586671,0.782114,
5.05,0,0,0,0,0,0,
5.055,0,0,0,0,0,0,
5.06,0,0,0,0,0,0,
5.065,0,0,0,0,0,0,
5.07,0,0,0,0,0,0,
5.075,0,0,0,0,0,0,
5.08,0,0,0,0,0,0,
5.085,0,0,0,0,0,0,
5.09,0,0,0,0,0,0,
5.095,0,0,0,0,0,0,
5.1,0,0,0,0,0,0,
5.105,0,0,0,0,0,0,
5.11,0,0,0,0,0,0,
5.115,0,0,0,0,0,0,
5.12,0,0,0,0,0,0,
5.125,0,0,0,0,0,0,
5.13,0,0,0,0,0,0,
5.135,0,0,0,0,0,0,
5.14,0,0,0,0,0,0,
5.145,0,0,0,0,0,0,
5.15,0,0,0,0,0,0,
5.155,0,0,0,0,0,0,
5.16,0,0,0,0,0,0,
5.165,0,0,0,0,0,0,
5.17,0,0,0,0,0,0,
5.175,0,0,0,0,0,0,
5.18,0,0,0,0,0,0,
5.185,0,0,0,0,0,0,
5.19,0,0,0,0,0,0,
5.195,0,0,0,0,0,0,
5.2,0,0,0,0,0,0,
5.205,0,0,0,0,0,0,
5.21,0,0,0,0,0,0,
5.215,0,0,0,0,0,0,
5.22,0,0,0,0,0,0,
5.225,0,0,0,0,0,0,
5.23,0,0,0,0,0,0,
5.235,0,0,0,0,0,0,
5.24,0,0,0,0,0,0,
5.245,0,0,0,0,0,0,
5.25,0,0,0,0,0,0,
5.255,0,0,0,0,0,0,
5.26,0,0,0,0,0,0,
5.265,0,0,0,0,0,0,
5.27,0,0,0,0,0,0,
5.275,0,0,0,0,0,0,
5.28,0,0,0,0,0,0,
5.285,0,0,0,0,0,0,
5.29,0,0,0,0,0,0,
5.295,0,0,0,0,0,0,
5.3,0,0,0,0,0,0,
5.305,0,0,0,0,0,0,
5.31,0,0,0,0,0,0,
5.315,0,0,0,0,0,0,
5.32,0,0,0,0,0,0,
5.325,0,0,0,0,0,0,
5.33,0,0,0,0,0,0,
5.335,0,0,0,0,0,0,
5.34,0,0,0,0,0,0,
5.345,0,0,0,0,0,0,
5.35,0,0,0,0,0,0,
5.355,0,0,0,0,0,0,
5.36,0,0,0,0,0,0,
5.365,0,0,0,0,0,0,
5.37,0,0,0,0,0,0,
5.375,0,0,0,0,0,0,
5.38,0,0,0,0,0,0,
5.385,0,0,0,0,0,0,
5.39,0,0,0,0,0,0,
5.395,0,0,0,0,0,0,
5.4,0,0,0,0,0,0,
